lf,date,p_rate,u_rate,ep_ratio,lf_outside,lf_employed,lf_unemployed
12367.9,2010-01-01,64.1,3.5,61.8,6927.5,11931.2,436.7
12059.8,2010-02-01,62.5,3.5,60.3,7225.1,11632.3,427.4
12324.2,2010-03-01,63.8,3.5,61.6,6993.0,11895.9,428.3
12512.0,2010-04-01,64.5,3.0,62.5,6894.5,12133.5,378.5
12197.6,2010-05-01,62.9,3.3,60.9,7186.0,11798.9,398.7
12331.8,2010-06-01,63.6,3.6,61.3,7065.0,11882.2,449.6
12516.2,2010-07-01,64.5,3.3,62.3,6900.5,12099.5,416.7
12320.9,2010-08-01,63.2,3.1,61.3,7157.9,11936.5,384.3
12289.9,2010-09-01,63.1,3.1,61.1,7194.4,11912.1,377.8
12689.5,2010-10-01,65.0,2.7,63.2,6846.7,12342.6,346.8
12277.5,2010-11-01,62.7,3.3,60.7,7298.3,11874.1,403.4
12822.3,2010-12-01,65.6,3.2,63.5,6722.3,12418.3,404.1
12804.2,2011-01-01,65.0,3.3,62.9,6881.6,12376.0,428.2
12618.9,2011-02-01,64.0,3.0,62.1,7110.3,12245.3,373.6
12862.2,2011-03-01,65.0,2.9,63.1,6940.1,12491.8,370.4
12921.7,2011-04-01,65.1,3.0,63.2,6930.6,12537.1,384.6
12726.6,2011-05-01,64.1,3.1,62.1,7133.2,12330.3,396.3
12782.7,2011-06-01,64.4,3.2,62.3,7073.7,12372.6,410.1
12967.4,2011-07-01,65.2,3.0,63.3,6920.5,12581.5,385.9
12887.9,2011-08-01,64.7,3.1,62.7,7038.6,12486.7,401.2
12875.9,2011-09-01,64.7,3.2,62.6,7032.2,12456.9,419.0
12938.2,2011-10-01,64.7,3.0,62.8,7045.7,12550.1,388.1
12722.4,2011-11-01,63.7,3.1,61.7,7245.7,12323.7,398.7
13092.1,2011-12-01,65.2,3.1,63.2,6997.3,12687.2,404.9
13191.6,2012-01-01,65.7,3.1,63.7,6878.5,12781.3,410.4
13054.5,2012-02-01,65.0,3.1,62.9,7042.3,12645.6,408.9
13295.4,2012-03-01,65.8,3.0,63.8,6897.3,12893.8,401.6
13331.8,2012-04-01,66.0,3.0,64.1,6851.3,12936.9,394.8
13245.6,2012-05-01,65.6,2.9,63.7,6952.9,12861.2,384.4
13232.5,2012-06-01,65.4,3.2,63.3,7013.7,12811.4,421.0
13511.7,2012-07-01,66.6,3.1,64.5,6777.3,13093.3,418.4
13313.6,2012-08-01,65.4,2.6,63.7,7039.9,12963.4,350.2
13408.5,2012-09-01,65.7,3.2,63.6,6993.2,12984.5,424.0
13341.4,2012-10-01,65.4,3.2,63.3,7056.2,12908.9,432.6
13429.2,2012-11-01,65.4,2.9,63.6,7094.6,13044.6,384.6
13538.6,2012-12-01,65.7,3.1,63.7,7060.6,13114.3,424.3
13569.6,2013-01-01,65.9,3.4,63.6,7035.5,13109.8,459.8
13598.8,2013-02-01,65.6,3.0,63.7,7119.8,13195.9,402.9
13684.4,2013-03-01,65.8,3.2,63.7,7116.7,13241.7,442.6
13835.6,2013-04-01,66.6,3.0,64.7,6922.7,13422.9,412.8
13815.3,2013-05-01,66.4,3.2,64.2,7005.6,13368.9,446.4
14217.1,2013-06-01,68.1,2.8,66.2,6668.6,13816.9,400.2
14194.6,2013-07-01,68.1,3.0,66.0,6655.9,13763.0,431.6
14176.6,2013-08-01,67.9,3.1,65.8,6689.8,13734.2,442.4
14309.4,2013-09-01,68.6,3.1,66.4,6557.3,13859.5,449.9
14169.2,2013-10-01,67.7,3.3,65.5,6746.3,13699.1,470.1
14220.9,2013-11-01,67.9,3.4,65.6,6716.2,13730.4,490.5
14276.5,2013-12-01,68.0,3.1,65.9,6724.2,13836.2,440.3
14244.4,2014-01-01,67.9,3.3,65.7,6734.7,13775.9,468.5
14249.9,2014-02-01,67.7,3.2,65.5,6808.7,13788.0,462.0
14198.4,2014-03-01,67.1,3.0,65.1,6956.1,13768.3,430.1
14206.7,2014-04-01,67.5,2.9,65.5,6849.4,13793.2,413.5
14430.2,2014-05-01,68.3,2.8,66.4,6693.2,14023.0,407.2
14373.4,2014-06-01,67.8,2.8,65.9,6826.6,13967.0,406.4
14333.4,2014-07-01,67.7,2.8,65.8,6846.2,13935.8,397.6
14266.3,2014-08-01,67.3,2.7,65.5,6934.1,13881.4,384.9
14440.2,2014-09-01,68.1,2.6,66.3,6763.7,14058.4,381.8
14403.1,2014-10-01,67.5,2.6,65.7,6926.7,14023.3,379.9
14404.1,2014-11-01,67.6,2.6,65.9,6887.1,14025.4,378.7
14512.0,2014-12-01,68.1,3.1,66.0,6784.8,14060.2,451.7
14442.0,2015-01-01,67.6,3.1,65.5,6923.7,13991.8,450.3
14554.7,2015-02-01,68.0,3.2,65.8,6847.8,14092.9,461.8
14601.2,2015-03-01,68.1,3.0,66.0,6839.3,14160.5,440.7
14569.5,2015-04-01,67.9,3.0,65.9,6890.2,14136.2,433.3
14575.0,2015-05-01,67.8,3.1,65.7,6933.5,14126.7,448.3
14609.9,2015-06-01,67.9,3.2,65.8,6896.2,14146.7,463.2
14579.1,2015-07-01,67.8,3.2,65.6,6937.7,14106.2,472.9
14685.1,2015-08-01,68.1,3.2,65.9,6871.5,14214.6,470.5
14642.0,2015-09-01,67.9,3.3,65.6,6925.4,14151.7,490.3
14665.9,2015-10-01,68.0,3.3,65.8,6894.8,14184.7,481.3
14687.2,2015-11-01,67.9,3.2,65.7,6945.0,14215.7,471.5
14690.0,2015-12-01,67.9,3.4,65.6,6945.3,14185.7,504.3
14652.0,2016-01-01,67.7,3.4,65.4,6984.2,14150.5,501.5
14703.3,2016-02-01,67.6,3.4,65.2,7063.1,14196.9,506.4
14710.1,2016-03-01,67.9,3.5,65.5,6964.0,14200.7,509.5
14675.3,2016-04-01,67.7,3.5,65.3,7012.5,14163.7,511.5
14705.0,2016-05-01,67.7,3.4,65.4,7021.1,14200.2,504.8
14720.1,2016-06-01,67.7,3.4,65.4,7036.5,14218.4,501.8
14729.0,2016-07-01,67.8,3.5,65.4,7008.4,14212.8,516.2
14822.2,2016-08-01,67.8,3.5,65.4,7053.3,14306.9,515.2
14762.2,2016-09-01,67.6,3.5,65.2,7084.3,14249.6,512.6
14765.1,2016-10-01,67.6,3.5,65.3,7071.1,14253.4,511.7
14827.9,2016-11-01,67.7,3.4,65.3,7081.8,14317.2,510.7
14788.9,2016-12-01,67.6,3.5,65.3,7072.8,14276.7,512.2
14880.9,2017-01-01,67.7,3.4,65.4,7090.4,14366.8,514.1
14916.7,2017-02-01,67.8,3.4,65.4,7086.9,14401.8,514.8
14932.5,2017-03-01,67.7,3.4,65.4,7121.8,14421.7,510.8
14941.5,2017-04-01,67.7,3.4,65.4,7122.5,14429.6,511.9
14961.9,2017-05-01,67.8,3.4,65.5,7120.8,14454.4,507.5
15027.6,2017-06-01,67.8,3.4,65.5,7141.1,14519.9,507.7
15016.4,2017-07-01,67.7,3.5,65.4,7150.4,14497.4,519.0
15030.2,2017-08-01,67.8,3.4,65.5,7138.4,14513.4,516.9
15058.8,2017-09-01,67.9,3.4,65.6,7122.1,14544.3,514.5
15090.4,2017-10-01,68.0,3.4,65.7,7117.7,14581.7,508.8
15084.0,2017-11-01,67.9,3.3,65.6,7121.4,14578.9,505.1
15145.9,2017-12-01,68.1,3.3,65.9,7084.1,14640.1,505.8
15187.0,2018-01-01,68.2,3.4,65.9,7074.8,14670.5,516.5
15230.0,2018-02-01,68.2,3.3,65.9,7112.3,14721.5,508.5
15241.2,2018-03-01,68.2,3.3,65.9,7115.0,14732.5,508.7
15313.1,2018-04-01,68.2,3.3,66.0,7130.9,14803.1,510.0
15357.5,2018-05-01,68.4,3.3,66.1,7097.1,14852.6,504.8
15379.0,2018-06-01,68.5,3.4,66.2,7062.2,14863.2,515.8
15401.0,2018-07-01,68.6,3.4,66.3,7044.5,14882.4,518.6
15421.4,2018-08-01,68.4,3.4,66.0,7133.9,14896.5,525.0
15442.9,2018-09-01,68.5,3.3,66.2,7096.8,14926.5,516.4
15450.0,2018-10-01,68.5,3.3,66.3,7093.7,14937.1,512.9
15457.5,2018-11-01,68.4,3.3,66.1,7151.2,14941.3,516.2
15500.1,2018-12-01,68.5,3.3,66.2,7120.1,14986.0,514.2
15508.5,2019-01-01,68.6,3.3,66.3,7095.9,14992.8,515.6
15543.2,2019-02-01,68.5,3.3,66.2,7145.9,15026.8,516.4
15556.6,2019-03-01,68.4,3.4,66.2,7169.4,15035.2,521.3
15613.1,2019-04-01,68.5,3.4,66.2,7184.4,15089.8,523.3
15642.3,2019-05-01,68.5,3.3,66.2,7190.0,15122.5,519.8
15655.9,2019-06-01,68.6,3.3,66.3,7156.7,15134.6,521.4
15704.6,2019-07-01,68.5,3.3,66.2,7207.7,15179.8,524.8
15706.0,2019-08-01,68.6,3.3,66.4,7172.4,15185.8,520.2
15751.2,2019-09-01,68.7,3.3,66.5,7159.8,15229.9,521.4
15777.7,2019-10-01,68.7,3.2,66.5,7175.0,15265.6,512.1
15828.9,2019-11-01,68.8,3.2,66.6,7174.2,15315.0,513.9
15803.0,2019-12-01,68.9,3.3,66.7,7129.8,15286.0,517.0
15829.3,2020-01-01,68.9,3.2,66.7,7128.9,15317.6,511.7
15869.8,2020-02-01,68.7,3.3,66.4,7224.0,15344.5,525.2
15842.9,2020-03-01,68.6,3.8,66.0,7239.8,15232.4,610.5
15712.2,2020-04-01,68.1,5.0,64.8,7345.1,14933.4,778.8
15714.0,2020-05-01,68.0,5.3,64.4,7392.1,14887.9,826.1
15763.5,2020-06-01,68.1,4.9,64.7,7398.5,14990.2,773.2
15818.5,2020-07-01,68.1,4.7,64.9,7399.8,15073.4,745.1
15895.1,2020-08-01,68.4,4.7,65.2,7351.5,15153.5,741.6
15930.6,2020-09-01,68.4,4.6,65.2,7359.8,15193.1,737.5
15955.3,2020-10-01,68.5,4.7,65.3,7347.7,15207.1,748.2
15960.5,2020-11-01,68.4,4.8,65.1,7374.8,15196.1,764.4
15988.3,2020-12-01,68.4,4.8,65.1,7372.2,15215.4,772.9
16019.8,2021-01-01,68.5,4.9,65.2,7366.2,15237.3,782.5
16048.2,2021-02-01,68.5,4.8,65.2,7371.4,15270.6,777.5
16082.5,2021-03-01,68.6,4.7,65.4,7363.7,15329.3,753.2
16094.7,2021-04-01,68.6,4.6,65.4,7376.8,15352.0,742.7
16098.9,2021-05-01,68.5,4.5,65.4,7398.0,15370.8,728.1
16066.2,2021-06-01,68.3,4.8,65.0,7456.8,15297.5,768.7
16072.9,2021-07-01,68.3,4.8,65.0,7475.4,15294.8,778.2
16125.4,2021-08-01,68.4,4.6,65.2,7448.5,15376.6,748.8
16193.1,2021-09-01,68.6,4.5,65.5,7405.9,15463.5,729.6
16259.6,2021-10-01,68.8,4.3,65.8,7364.5,15554.6,705.0
16304.7,2021-11-01,68.9,4.3,66.0,7344.4,15610.3,694.4
16336.2,2021-12-01,69.0,4.2,66.1,7337.8,15648.6,687.6
16366.4,2022-01-01,69.1,4.2,66.2,7332.1,15686.1,680.4
16402.7,2022-02-01,69.1,4.1,66.3,7320.7,15730.9,671.8
16438.5,2022-03-01,69.2,4.1,66.4,7309.7,15769.4,669.2
16502.8,2022-04-01,69.4,3.9,66.7,7270.2,15853.5,649.3
16537.8,2022-05-01,69.5,3.9,66.8,7260.1,15900.0,637.7
16566.9,2022-06-01,69.5,3.8,66.9,7255.5,15936.3,630.6
16599.2,2022-07-01,69.6,3.7,67.0,7247.9,15978.4,620.7
16629.7,2022-08-01,69.7,3.7,67.1,7242.0,16017.7,612.0
16657.2,2022-09-01,69.7,3.6,67.2,7239.2,16052.2,605.0
16683.5,2022-10-01,69.7,3.6,67.2,7237.3,16081.5,602.0
16709.4,2022-11-01,69.8,3.6,67.3,7235.7,16108.6,600.9
16730.0,2022-12-01,69.8,3.6,67.3,7239.5,16130.4,599.6
16755.4,2023-01-01,69.8,3.6,67.3,7238.3,16159.3,596.1
16781.2,2023-02-01,69.9,3.5,67.4,7236.7,16189.3,591.9
16811.7,2023-03-01,69.9,3.5,67.5,7230.6,16223.0,588.7
16838.4,2023-04-01,70.0,3.5,67.5,7228.2,16251.4,586.9
16864.1,2023-05-01,70.0,3.5,67.6,7226.8,16279.5,584.6
16889.4,2023-06-01,70.0,3.4,67.6,7225.7,16307.8,581.7
16914.2,2023-07-01,70.1,3.4,67.7,7225.0,16335.0,579.2
16932.1,2023-08-01,70.1,3.4,67.7,7231.3,16354.9,577.3
16948.8,2023-09-01,70.1,3.4,67.7,7238.9,16375.1,573.7
16974.1,2023-10-01,70.1,3.4,67.7,7237.6,16403.2,570.9
17000.4,2023-11-01,70.1,3.3,67.8,7235.4,16431.1,569.2
17025.5,2023-12-01,70.2,3.3,67.8,7234.3,16457.7,567.8
17050.3,2024-01-01,70.2,3.3,67.9,7233.4,16483.0,567.3
17074.9,2024-02-01,70.2,3.3,67.9,7232.7,16507.9,567.0
17098.7,2024-03-01,70.3,3.3,67.9,7232.5,16532.2,566.6
17122.1,2024-04-01,70.3,3.3,68.0,7233.1,16555.7,566.4
17145.9,2024-05-01,70.3,3.3,68.0,7232.9,16579.9,566.1
17171.1,2024-06-01,70.4,3.3,68.0,7231.7,16605.7,565.3
17195.7,2024-07-01,70.4,3.3,68.1,7230.7,16632.0,563.7
17219.9,2024-08-01,70.4,3.2,68.1,7230.0,16661.4,558.5
17244.3,2024-09-01,70.5,3.2,68.2,7229.2,16689.0,555.3
17268.9,2024-10-01,70.5,3.2,68.2,7228.0,16717.5,551.4
17293.8,2024-11-01,70.5,3.2,68.3,7226.7,16747.0,546.7
17319.7,2024-12-01,70.6,3.2,68.3,7224.0,16775.4,544.3
17218.2,2025-01-01,70.6,3.1,68.5,7154.8,16684.4,533.8
17266.9,2025-02-01,70.7,3.1,68.5,7153.1,16734.1,532.8
17308.1,2025-03-01,70.7,3.1,68.6,7158.1,16778.5,529.6
17344.5,2025-04-01,70.8,3.0,68.6,7169.4,16818.6,525.9
17384.8,2025-05-01,70.8,3.0,68.7,7176.8,16862.4,522.4
17434.0,2025-06-01,70.8,3.0,68.7,7176.5,16915.3,518.7
